ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
SHMD,SCHMID Group N.V.,USA,Germany,Industrials,6.87,USD,10.65,35.5,397.1,881.7,-29.37,-38.41,Bearish,Strong BUY,-1.07,60.8,0.45,2026-05-17T12:04:05.644428
RDY,Dr. Reddy's Laboratories Ltd,USA,India,Healthcare,13.61,USD,16.17,15.8,11362.9,2543.7,-16.33,-21.91,Bearish,BUY,0.53,325535.0,1.37,2026-05-17T12:04:05.661533
POET,POET Technologies Inc.,USA,Canada,Technology,15.97,USD,20.81,23.3,2438.8,30011.7,20.03,15.31,Bullish,BUY,-0.68,1.1,2.19,2026-05-17T12:04:06.010045
CLX,Clorox Company (The),USA,United States,Consumer Defensive,90.45,USD,136.69,33.8,10937.3,2644.4,-73.73,-74.48,OVERSOLD,Strong BUY,6.15,7104.0,0.57,2026-05-17T12:04:06.218385
KOS,Kosmos Energy Ltd.,USA,United States,Energy,3.23,USD,3.32,2.7,1916.0,26008.2,59.85,58.38,OVERBOUGHT,BUY,-1.69,1288.4,0.45,2026-05-17T12:04:06.440792
METC,"Ramaco Resources, Inc.",USA,United States,Basic Materials,14.51,USD,57.8,74.9,945.7,1810.8,-38.37,-48.76,Bearish,Strong BUY,-1.1,536.6,4.66,2026-05-17T12:04:06.649056
KMI,"Kinder Morgan, Inc.",USA,United States,Energy,33.63,USD,34.73,3.2,74820.9,12888.9,-3.54,-1.05,Bearish,Turning Up,1.49,16937.0,0.5,2026-05-17T12:04:06.731188
MAMA,"Mama's Creations, Inc.",USA,United States,Consumer Defensive,14.45,USD,17.85,19.0,587.5,421.7,-54.64,-52.55,OVERSOLD,Turning Up,0.13,171.7,1.71,2026-05-17T12:04:06.851875
AG,First Majestic Silver Corp.,USA,Canada,Basic Materials,20.42,USD,32.04,36.3,10082.8,18542.2,-53.86,-53.97,OVERSOLD,Strong BUY,0.59,1265.2,2.41,2026-05-17T12:04:06.988772
IPI,"Intrepid Potash, Inc",USA,United States,Basic Materials,41.85,USD,50.34,16.9,562.2,359.1,-29.5,-26.74,Bearish,Turning Up,1.11,298.3,2.29,2026-05-17T12:04:07.255983
MMSI,"Merit Medical Systems, Inc.",USA,United States,Healthcare,61.36,USD,100.05,38.7,3660.4,826.6,-80.03,-79.17,OVERSOLD,Turning Up,2.32,1515.9,2.95,2026-05-17T12:04:07.355572
IAUX,i-80 Gold Corp.,USA,United States,Basic Materials,1.48,USD,2.24,33.9,1275.8,16975.3,-26.34,-26.65,Bearish,BUY,-0.29,95.2,0.51,2026-05-17T12:04:07.561570
CGEM,"Cullinan Therapeutics, Inc.",USA,United States,Healthcare,15.73,USD,16.74,6.0,966.7,854.5,4.46,-0.59,Bullish,BUY,-3.37,0.0,10.25,2026-05-17T12:04:07.664834
VERA,"Vera Therapeutics, Inc.",USA,United States,Healthcare,37.32,USD,56.05,33.4,2678.9,1183.0,-58.21,-53.74,OVERSOLD,Turning Up,-5.54,0.0,13.64,2026-05-17T12:04:08.367260
CHKP,Check Point Software Technologi,USA,Israel,Technology,124.03,USD,233.78,46.9,12902.6,1488.7,-79.19,-81.84,OVERSOLD,Strong BUY,9.72,2725.4,2.05,2026-05-17T12:04:08.649014
BAK,Braskem SA,USA,Brazil,Basic Materials,4.9,USD,5.39,9.2,1952.6,2834.2,-26.71,-40.2,Bearish,Strong BUY,-4.56,70717.0,0.5,2026-05-17T12:04:08.717426
GRAL,"GRAIL, Inc.",USA,United States,Healthcare,59.65,USD,118.84,49.8,2560.0,1233.9,-16.61,-35.67,Bearish,Strong BUY,-10.3,147.2,11.77,2026-05-17T12:04:08.836836
COMP,"Compass, Inc.",USA,United States,Real Estate,7.88,USD,13.95,43.5,5887.6,15318.4,-28.29,-41.08,Bearish,Strong BUY,0.02,6961.6,0.86,2026-05-17T12:04:08.887767
NVAX,"Novavax, Inc.",USA,United States,Healthcare,9.06,USD,11.97,24.3,1489.8,4650.5,-30.51,-39.85,Bearish,Strong BUY,-0.56,1123.5,2.1,2026-05-17T12:04:09.052770
HESM,Hess Midstream LP,USA,United States,Energy,39.9,USD,44.14,9.6,5121.2,1937.3,15.55,13.07,Bullish,BUY,2.89,1617.2,0.85,2026-05-17T12:04:09.055969
STE,STERIS plc (Ireland),USA,United States,Healthcare,212.11,USD,269.44,21.3,20818.0,820.1,-48.29,-52.96,OVERSOLD,Strong BUY,7.93,5459.5,1.39,2026-05-17T12:04:09.096630
MDT,Medtronic plc.,USA,Ireland,Healthcare,76.15,USD,106.33,28.4,97767.8,8837.4,-87.59,-86.95,OVERSOLD,Turning Up,3.58,33537.0,1.42,2026-05-17T12:04:09.194152
SD,"SandRidge Energy, Inc.",USA,United States,Energy,15.27,USD,18.45,17.2,563.7,404.0,-48.02,-44.5,OVERSOLD,Turning Up,2.05,156.4,2.17,2026-05-17T12:04:09.293341
