ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,divergence_bull,divergence_desc,vol_confirm,rs_12m,eps_ttm,sales_ttm_mln,quick_ratio,roic,debt_equity,gross_margin,scanned_at,tech_score
MKSI,MKSI,USA,--,--,331.03,USD,341.81,3.2,22359.1,1157.4,68.38,69.12,OVERBOUGHT,Turning Up,False,,False,,,3931.0,1.71,0.0765,1.636,0.4673,2026-06-11T14:56:48.442051,1
KLIC,KLIC,USA,--,--,105.4,USD,110.78,4.9,5515.9,731.8,70.02,71.61,OVERBOUGHT,Turning Up,False,,False,,,654.1,3.94,-0.0281,0.047,0.4249,2026-06-11T14:56:48.619834,1
TGT,TGT,USA,--,--,129.74,USD,133.1,2.5,58929.0,5389.1,35.07,33.68,Bullish,BUY,False,,False,,,104780.0,0.36,0.1214,1.255,0.2793,2026-06-11T14:56:49.539675,1
HP,HP,USA,--,--,39.62,USD,41.82,5.3,3959.3,1228.3,37.09,37.33,Bullish,Turning Up,False,,False,,,3746.0,1.4,0.0408,0.811,0.1627,2026-06-11T14:56:49.670620,1
ZD,ZD,USA,--,--,45.01,USD,50.55,11.0,1658.0,674.1,20.34,22.29,Bullish,Turning Up,False,,False,,,1451.3,1.27,0.0633,0.494,0.8576,2026-06-11T14:56:49.821273,1
SBCF,SBCF,USA,--,--,30.88,USD,35.55,13.1,3003.0,769.7,-37.83,-34.18,Bearish,Turning Up,False,,False,,,652.6,,,0.31,,2026-06-11T14:56:50.088100,1
AEE,AEE,USA,--,--,109.99,USD,115.59,4.8,30439.9,1694.0,-15.97,-15.72,Bearish,Turning Up,False,,False,,,8799.0,0.46,0.0416,1.48,0.474,2026-06-11T14:56:51.035877,1
PLXS,PLXS,USA,--,--,284.46,USD,292.33,2.7,7611.1,333.5,74.85,74.82,OVERBOUGHT,BUY,False,,False,,,4033.0,,,,0.1008,2026-06-11T14:56:52.163651,1
CVSA,CVSA,USA,--,--,130.78,USD,156.26,16.3,4450.6,317.9,45.4,43.68,OVERBOUGHT,BUY,False,,False,,,,,,,,2026-06-11T14:56:52.248429,1
EXTR,EXTR,USA,--,--,29.55,USD,30.16,2.0,3864.5,2325.2,86.77,86.78,OVERBOUGHT,Turning Up,False,,False,,,1140.1,0.74,0.0276,3.407,0.622,2026-06-11T14:56:30.014080,0
RXT,RXT,USA,--,--,5.2,USD,7.65,32.1,1294.7,19122.2,22.29,23.22,Bullish,Turning Up,False,,False,,,2685.7,0.68,-0.0522,,0.1886,2026-06-11T14:56:31.739086,0
HG,HG,USA,--,--,32.16,USD,33.72,4.6,3192.1,453.4,7.41,13.91,Bullish,Turning Up,False,,False,,,2960.7,,0.0993,0.053,,2026-06-11T14:56:36.241984,0
ACDC,ACDC,USA,--,--,7.49,USD,10.7,30.0,1355.1,1488.2,13.44,14.52,Bullish,Turning Up,False,,False,,,1941.8,0.56,-0.0659,1.652,0.0365,2026-06-11T14:56:43.492653,0
LIN,LIN,USA,--,--,512.67,USD,522.89,2.0,237033.9,2281.5,39.48,39.89,Bullish,Turning Up,False,,False,,,33986.0,0.74,0.1079,0.734,0.4883,2026-06-11T14:56:44.751886,0
WAFD,WAFD,USA,--,--,36.53,USD,38.59,5.3,2699.1,648.2,33.8,34.25,Bullish,Turning Up,False,,False,,,724.9,,,0.598,,2026-06-11T14:56:48.284831,0
SPNT,SPNT,USA,--,--,23.97,USD,24.32,1.4,2817.5,714.6,23.04,27.74,Bullish,Turning Up,False,,False,,,,,,,,2026-06-11T14:56:52.270076,0
